22:20:42 INFO  : Launching XSCT server: xsct.bat -n  -interactive F:\Advanced_Hardware_Engineering\Vivado_2021\Workspace\OLED\temp_xsdb_launch_script.tcl
22:20:42 INFO  : Registering command handlers for Vitis TCF services
22:20:43 INFO  : Platform repository initialization has completed.
22:20:45 INFO  : XSCT server has started successfully.
22:20:45 INFO  : Successfully done setting XSCT server connection channel  
22:20:45 INFO  : plnx-install-location is set to ''
22:20:45 INFO  : Successfully done query RDI_DATADIR 
22:20:45 INFO  : Successfully done setting workspace for the tool. 
22:22:10 INFO  : Result from executing command 'getProjects': OLED_Platform_J
22:22:10 INFO  : Result from executing command 'getPlatforms': 
22:22:20 INFO  : Result from executing command 'getProjects': OLED_Platform_J
22:22:20 INFO  : Result from executing command 'getPlatforms': OLED_Platform_J|F:/Advanced_Hardware_Engineering/Vivado_2021/Workspace/OLED/OLED_Platform_J/export/OLED_Platform_J/OLED_Platform_J.xpfm
22:24:54 INFO  : Checking for BSP changes to sync application flags for project 'OLED_comp'...
22:25:00 INFO  : Result from executing command 'removePlatformRepo': 
22:25:06 INFO  : Result from executing command 'getProjects': OLED_Platform_J
22:25:06 INFO  : Result from executing command 'getPlatforms': 
22:25:06 INFO  : Checking for BSP changes to sync application flags for project 'OLED_comp'...
